# Productos retirados de PRE el 20-09-2026 por decision del dueno: MOQ > 1.
# NO SE RECARGAN. La norma de carga admitia MOQ 1 y 2; el dueno decidio retirar tambien los
# de MOQ 2, incluidos DOS que el mismo habia marcado como verificados (733154477435, 895606674206).
# Ninguno tenia pedidos. Borrado por SQL directo, sin pasar por la API: no se publico al bus,
# asi que produccion NO se ve afectada.
external_id	moq	verificado	estado	titulo_es
1010108023714	5000	false	ACTIVE	Camisón de tirantes con escote en pico y estampado de corazones, tacto sedoso
1002913912196	500	false	ACTIVE	Toalla de baño extragrande de 80x160 cm, gruesa, suave y muy absorbente
1055991159978	500	false	ACTIVE	Zapatillas de seguridad de hombre con puntera reforzada, antiperforación y ligeras
1060551764865	500	false	ACTIVE	Zapatillas de hombre en malla transpirable con cordones, suela plana, tallas grandes
1065148720362	500	false	ACTIVE	Zapatillas de hombre en negro con malla transpirable, para uso diario
944523311968	500	false	ACTIVE	Conjunto de sujetador de encaje ultrafino con efecto reductor, corte francés
851334069600	300	false	ACTIVE	Conjunto de lencería de encaje con copa fina y buen sostén, en tallas grandes
874929419707	300	false	ACTIVE	Conjunto de lencería de tres piezas con bordado floral y aros
938662829921	300	false	ACTIVE	Mocasines de hombre en piel perforada, transpirables y de suela blanda
960211069763	300	false	ACTIVE	Conjunto de lencería de encaje rosa de cuatro piezas con liguero y medias
963318590092	300	false	ACTIVE	Conjunto de lencería de dos piezas en tul transparente con puntilla
1020368980760	200	false	ACTIVE	Camisón de encaje con tirantes finos, lencería para mujer
1066016760538	200	false	ACTIVE	Top sujetador de tirantes finos en morado, para deporte y uso diario
970263002148	150	false	ACTIVE	Falda vaquera larga de corte sirena, estiliza la figura
1005271084241	100	false	ACTIVE	Top corsé palabra de honor con varillas, efecto moldeador y espalda descubierta
1062700812400	100	false	ACTIVE	Top corsé de tirantes con cordones, encaje, copas y varillas
689020738916	100	false	ACTIVE	Rodilleras y coderas de bebé en rizo con puntos antideslizantes para gatear
811256635906	100	false	ACTIVE	Mono de mujer de manga larga con escote amplio, elástico y ajustado
825704248257	100	false	ACTIVE	Conjunto de lencería con estampado de leopardo para disfraz
847499525526	100	false	ACTIVE	Conjunto de lencería de cuatro piezas con encaje, aros, liguero y medias
